0 tensor(332702.9062, grad_fn=<MeanBackward0>)
1 tensor(332702.9062, grad_fn=<MeanBackward0>)
2 tensor(296796.0938, grad_fn=<MeanBackward0>)
3 tensor(278232.1250, grad_fn=<MeanBackward0>)
4 tensor(278232.1250, grad_fn=<MeanBackward0>)
5 tensor(255424.9062, grad_fn=<MeanBackward0>)
6 tensor(204587.9062, grad_fn=<MeanBackward0>)
7 tensor(201497.6562, grad_fn=<MeanBackward0>)
8 tensor(201497.6562, grad_fn=<MeanBackward0>)
9 tensor(201497.6562, grad_fn=<MeanBackward0>)
10 tensor(200371.3438, grad_fn=<MeanBackward0>)
11 tensor(192874.2188, grad_fn=<MeanBackward0>)
12 tensor(192874.2188, grad_fn=<MeanBackward0>)
13 tensor(192874.2188, grad_fn=<MeanBackward0>)
14 tensor(192874.2188, grad_fn=<MeanBackward0>)
15 tensor(192874.2188, grad_fn=<MeanBackward0>)
16 tensor(192874.2188, grad_fn=<MeanBackward0>)
17 tensor(192874.2188, grad_fn=<MeanBackward0>)
18 tensor(192874.2188, grad_fn=<MeanBackward0>)
19 tensor(192874.2188, grad_fn=<MeanBackward0>)
20 tensor(192874.2188, grad_fn=<MeanBackward0>)
21 tensor(192874.2188, grad_fn=<MeanBackward0>)
22 tensor(192874.2188, grad_fn=<MeanBackward0>)
23 tensor(192874.2188, grad_fn=<MeanBackward0>)
24 tensor(192874.2188, grad_fn=<MeanBackward0>)
25 tensor(192874.2188, grad_fn=<MeanBackward0>)
26 tensor(175322.1719, grad_fn=<MeanBackward0>)
27 tensor(175322.1719, grad_fn=<MeanBackward0>)
28 tensor(175322.1719, grad_fn=<MeanBackward0>)
29 tensor(175322.1719, grad_fn=<MeanBackward0>)
30 tensor(175322.1719, grad_fn=<MeanBackward0>)
31 tensor(175322.1719, grad_fn=<MeanBackward0>)
32 tensor(157806.5312, grad_fn=<MeanBackward0>)
33 tensor(157806.5312, grad_fn=<MeanBackward0>)
34 tensor(157806.5312, grad_fn=<MeanBackward0>)
35 tensor(157806.5312, grad_fn=<MeanBackward0>)
36 tensor(157806.5312, grad_fn=<MeanBackward0>)
37 tensor(157806.5312, grad_fn=<MeanBackward0>)
38 tensor(157806.5312, grad_fn=<MeanBackward0>)
39 tensor(157806.5312, grad_fn=<MeanBackward0>)
40 tensor(157806.5312, grad_fn=<MeanBackward0>)
41 tensor(157806.5312, grad_fn=<MeanBackward0>)
42 tensor(157806.5312, grad_fn=<MeanBackward0>)
43 tensor(157806.5312, grad_fn=<MeanBackward0>)
44 tensor(157806.5312, grad_fn=<MeanBackward0>)
45 tensor(157806.5312, grad_fn=<MeanBackward0>)
46 tensor(157806.5312, grad_fn=<MeanBackward0>)
47 tensor(157806.5312, grad_fn=<MeanBackward0>)
48 tensor(157806.5312, grad_fn=<MeanBackward0>)
49 tensor(157806.5312, grad_fn=<MeanBackward0>)
50 tensor(157806.5312, grad_fn=<MeanBackward0>)
51 tensor(157806.5312, grad_fn=<MeanBackward0>)
52 tensor(157806.5312, grad_fn=<MeanBackward0>)
53 tensor(157806.5312, grad_fn=<MeanBackward0>)
54 tensor(157806.5312, grad_fn=<MeanBackward0>)
55 tensor(157806.5312, grad_fn=<MeanBackward0>)
56 tensor(108804.9922, grad_fn=<MeanBackward0>)
57 tensor(108804.9922, grad_fn=<MeanBackward0>)
58 tensor(108804.9922, grad_fn=<MeanBackward0>)
59 tensor(108804.9922, grad_fn=<MeanBackward0>)
60 tensor(108804.9922, grad_fn=<MeanBackward0>)
61 tensor(108804.9922, grad_fn=<MeanBackward0>)
62 tensor(108804.9922, grad_fn=<MeanBackward0>)
63 tensor(108804.9922, grad_fn=<MeanBackward0>)
64 tensor(108804.9922, grad_fn=<MeanBackward0>)
65 tensor(108804.9922, grad_fn=<MeanBackward0>)
66 tensor(94880.3984, grad_fn=<MeanBackward0>)
67 tensor(94880.3984, grad_fn=<MeanBackward0>)
68 tensor(94880.3984, grad_fn=<MeanBackward0>)
69 tensor(94880.3984, grad_fn=<MeanBackward0>)
70 tensor(92094.8203, grad_fn=<MeanBackward0>)
71 tensor(92094.8203, grad_fn=<MeanBackward0>)
72 tensor(77542.7422, grad_fn=<MeanBackward0>)
73 tensor(77542.7422, grad_fn=<MeanBackward0>)
74 tensor(73176.1875, grad_fn=<MeanBackward0>)
75 tensor(71263.1094, grad_fn=<MeanBackward0>)
76 tensor(69855.5469, grad_fn=<MeanBackward0>)
77 tensor(69855.5469, grad_fn=<MeanBackward0>)
78 tensor(69855.5469, grad_fn=<MeanBackward0>)
79 tensor(69855.5469, grad_fn=<MeanBackward0>)
