0 tensor(306536.1562, grad_fn=<MeanBackward0>)
1 tensor(206378.8750, grad_fn=<MeanBackward0>)
2 tensor(206378.8750, grad_fn=<MeanBackward0>)
3 tensor(183484.5000, grad_fn=<MeanBackward0>)
4 tensor(183484.5000, grad_fn=<MeanBackward0>)
5 tensor(140511.1719, grad_fn=<MeanBackward0>)
6 tensor(140511.1719, grad_fn=<MeanBackward0>)
7 tensor(140511.1719, grad_fn=<MeanBackward0>)
8 tensor(140511.1719, grad_fn=<MeanBackward0>)
9 tensor(139797.0781, grad_fn=<MeanBackward0>)
10 tensor(139797.0781, grad_fn=<MeanBackward0>)
11 tensor(139797.0781, grad_fn=<MeanBackward0>)
12 tensor(139797.0781, grad_fn=<MeanBackward0>)
13 tensor(139797.0781, grad_fn=<MeanBackward0>)
14 tensor(139797.0781, grad_fn=<MeanBackward0>)
15 tensor(139797.0781, grad_fn=<MeanBackward0>)
16 tensor(139797.0781, grad_fn=<MeanBackward0>)
17 tensor(139797.0781, grad_fn=<MeanBackward0>)
18 tensor(139797.0781, grad_fn=<MeanBackward0>)
19 tensor(121584.1328, grad_fn=<MeanBackward0>)
20 tensor(121584.1328, grad_fn=<MeanBackward0>)
21 tensor(121584.1328, grad_fn=<MeanBackward0>)
22 tensor(121584.1328, grad_fn=<MeanBackward0>)
23 tensor(121584.1328, grad_fn=<MeanBackward0>)
24 tensor(121584.1328, grad_fn=<MeanBackward0>)
25 tensor(121584.1328, grad_fn=<MeanBackward0>)
26 tensor(121584.1328, grad_fn=<MeanBackward0>)
27 tensor(121584.1328, grad_fn=<MeanBackward0>)
28 tensor(121584.1328, grad_fn=<MeanBackward0>)
29 tensor(121584.1328, grad_fn=<MeanBackward0>)
30 tensor(121584.1328, grad_fn=<MeanBackward0>)
31 tensor(121584.1328, grad_fn=<MeanBackward0>)
32 tensor(121584.1328, grad_fn=<MeanBackward0>)
33 tensor(121584.1328, grad_fn=<MeanBackward0>)
34 tensor(119799.3281, grad_fn=<MeanBackward0>)
35 tensor(119799.3281, grad_fn=<MeanBackward0>)
36 tensor(119799.3281, grad_fn=<MeanBackward0>)
37 tensor(119799.3281, grad_fn=<MeanBackward0>)
38 tensor(119799.3281, grad_fn=<MeanBackward0>)
39 tensor(119799.3281, grad_fn=<MeanBackward0>)
40 tensor(119799.3281, grad_fn=<MeanBackward0>)
41 tensor(119799.3281, grad_fn=<MeanBackward0>)
42 tensor(119799.3281, grad_fn=<MeanBackward0>)
43 tensor(119799.3281, grad_fn=<MeanBackward0>)
44 tensor(119799.3281, grad_fn=<MeanBackward0>)
45 tensor(119799.3281, grad_fn=<MeanBackward0>)
46 tensor(119799.3281, grad_fn=<MeanBackward0>)
47 tensor(119799.3281, grad_fn=<MeanBackward0>)
48 tensor(119799.3281, grad_fn=<MeanBackward0>)
49 tensor(119799.3281, grad_fn=<MeanBackward0>)
50 tensor(119799.3281, grad_fn=<MeanBackward0>)
51 tensor(119799.3281, grad_fn=<MeanBackward0>)
52 tensor(119799.3281, grad_fn=<MeanBackward0>)
53 tensor(119799.3281, grad_fn=<MeanBackward0>)
54 tensor(119799.3281, grad_fn=<MeanBackward0>)
55 tensor(119799.3281, grad_fn=<MeanBackward0>)
56 tensor(119799.3281, grad_fn=<MeanBackward0>)
57 tensor(119799.3281, grad_fn=<MeanBackward0>)
58 tensor(119799.3281, grad_fn=<MeanBackward0>)
59 tensor(119799.3281, grad_fn=<MeanBackward0>)
60 tensor(119799.3281, grad_fn=<MeanBackward0>)
61 tensor(119799.3281, grad_fn=<MeanBackward0>)
62 tensor(119799.3281, grad_fn=<MeanBackward0>)
63 tensor(119799.3281, grad_fn=<MeanBackward0>)
64 tensor(119799.3281, grad_fn=<MeanBackward0>)
65 tensor(119799.3281, grad_fn=<MeanBackward0>)
66 tensor(119799.3281, grad_fn=<MeanBackward0>)
67 tensor(119799.3281, grad_fn=<MeanBackward0>)
68 tensor(119799.3281, grad_fn=<MeanBackward0>)
69 tensor(119799.3281, grad_fn=<MeanBackward0>)
70 tensor(119799.3281, grad_fn=<MeanBackward0>)
71 tensor(119799.3281, grad_fn=<MeanBackward0>)
72 tensor(119799.3281, grad_fn=<MeanBackward0>)
73 tensor(119799.3281, grad_fn=<MeanBackward0>)
74 tensor(119799.3281, grad_fn=<MeanBackward0>)
75 tensor(119799.3281, grad_fn=<MeanBackward0>)
76 tensor(119799.3281, grad_fn=<MeanBackward0>)
77 tensor(118391.0156, grad_fn=<MeanBackward0>)
78 tensor(118391.0156, grad_fn=<MeanBackward0>)
79 tensor(118391.0156, grad_fn=<MeanBackward0>)
80 tensor(118391.0156, grad_fn=<MeanBackward0>)
81 tensor(118391.0156, grad_fn=<MeanBackward0>)
82 tensor(118391.0156, grad_fn=<MeanBackward0>)
83 tensor(118391.0156, grad_fn=<MeanBackward0>)
84 tensor(118391.0156, grad_fn=<MeanBackward0>)
85 tensor(118391.0156, grad_fn=<MeanBackward0>)
86 tensor(118391.0156, grad_fn=<MeanBackward0>)
87 tensor(118391.0156, grad_fn=<MeanBackward0>)
88 tensor(118391.0156, grad_fn=<MeanBackward0>)
89 tensor(118391.0156, grad_fn=<MeanBackward0>)
90 tensor(118391.0156, grad_fn=<MeanBackward0>)
91 tensor(118391.0156, grad_fn=<MeanBackward0>)
92 tensor(118391.0156, grad_fn=<MeanBackward0>)
93 tensor(118391.0156, grad_fn=<MeanBackward0>)
94 tensor(118391.0156, grad_fn=<MeanBackward0>)
95 tensor(118391.0156, grad_fn=<MeanBackward0>)
96 tensor(118391.0156, grad_fn=<MeanBackward0>)
97 tensor(118391.0156, grad_fn=<MeanBackward0>)
98 tensor(118391.0156, grad_fn=<MeanBackward0>)
99 tensor(118391.0156, grad_fn=<MeanBackward0>)
0 tensor(294292.8125, grad_fn=<MeanBackward0>)
1 tensor(274385.6875, grad_fn=<MeanBackward0>)
2 tensor(220160.5625, grad_fn=<MeanBackward0>)
3 tensor(220160.5625, grad_fn=<MeanBackward0>)
4 tensor(211256.0312, grad_fn=<MeanBackward0>)
5 tensor(211256.0312, grad_fn=<MeanBackward0>)
6 tensor(208450.3281, grad_fn=<MeanBackward0>)
7 tensor(202600.2188, grad_fn=<MeanBackward0>)
8 tensor(202600.2188, grad_fn=<MeanBackward0>)
9 tensor(202600.2188, grad_fn=<MeanBackward0>)
0 tensor(359582.7500, grad_fn=<MeanBackward0>)
1 tensor(257965.2031, grad_fn=<MeanBackward0>)
2 tensor(226352.5938, grad_fn=<MeanBackward0>)
3 tensor(226352.5938, grad_fn=<MeanBackward0>)
4 tensor(226352.5938, grad_fn=<MeanBackward0>)
5 tensor(218914.8281, grad_fn=<MeanBackward0>)
6 tensor(139677.0469, grad_fn=<MeanBackward0>)
7 tensor(139677.0469, grad_fn=<MeanBackward0>)
8 tensor(139273.1406, grad_fn=<MeanBackward0>)
9 tensor(112875.6250, grad_fn=<MeanBackward0>)
10 tensor(112875.6250, grad_fn=<MeanBackward0>)
11 tensor(112875.6250, grad_fn=<MeanBackward0>)
12 tensor(112875.6250, grad_fn=<MeanBackward0>)
13 tensor(112875.6250, grad_fn=<MeanBackward0>)
14 tensor(112875.6250, grad_fn=<MeanBackward0>)
15 tensor(112875.6250, grad_fn=<MeanBackward0>)
16 tensor(107032.3125, grad_fn=<MeanBackward0>)
17 tensor(107032.3125, grad_fn=<MeanBackward0>)
18 tensor(107032.3125, grad_fn=<MeanBackward0>)
19 tensor(107032.3125, grad_fn=<MeanBackward0>)
20 tensor(107032.3125, grad_fn=<MeanBackward0>)
21 tensor(107032.3125, grad_fn=<MeanBackward0>)
22 tensor(107032.3125, grad_fn=<MeanBackward0>)
23 tensor(107032.3125, grad_fn=<MeanBackward0>)
24 tensor(107032.3125, grad_fn=<MeanBackward0>)
25 tensor(103936.0469, grad_fn=<MeanBackward0>)
26 tensor(103936.0469, grad_fn=<MeanBackward0>)
27 tensor(103936.0469, grad_fn=<MeanBackward0>)
28 tensor(103936.0469, grad_fn=<MeanBackward0>)
29 tensor(103936.0469, grad_fn=<MeanBackward0>)
30 tensor(103936.0469, grad_fn=<MeanBackward0>)
31 tensor(103936.0469, grad_fn=<MeanBackward0>)
32 tensor(103936.0469, grad_fn=<MeanBackward0>)
33 tensor(103936.0469, grad_fn=<MeanBackward0>)
34 tensor(103936.0469, grad_fn=<MeanBackward0>)
35 tensor(103936.0469, grad_fn=<MeanBackward0>)
36 tensor(103936.0469, grad_fn=<MeanBackward0>)
37 tensor(103936.0469, grad_fn=<MeanBackward0>)
38 tensor(103936.0469, grad_fn=<MeanBackward0>)
39 tensor(103936.0469, grad_fn=<MeanBackward0>)
40 tensor(103936.0469, grad_fn=<MeanBackward0>)
41 tensor(103936.0469, grad_fn=<MeanBackward0>)
42 tensor(100749.6875, grad_fn=<MeanBackward0>)
43 tensor(100749.6875, grad_fn=<MeanBackward0>)
44 tensor(100749.6875, grad_fn=<MeanBackward0>)
45 tensor(100749.6875, grad_fn=<MeanBackward0>)
46 tensor(100749.6875, grad_fn=<MeanBackward0>)
47 tensor(100749.6875, grad_fn=<MeanBackward0>)
48 tensor(100749.6875, grad_fn=<MeanBackward0>)
49 tensor(100749.6875, grad_fn=<MeanBackward0>)
50 tensor(100749.6875, grad_fn=<MeanBackward0>)
51 tensor(100749.6875, grad_fn=<MeanBackward0>)
52 tensor(100749.6875, grad_fn=<MeanBackward0>)
